PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,0.00000000000000E+00,0.00000000000000E+00,1.05683620000000E+05,7.10127880000000E+05,2.18799982000000E+06,3.22893100000000E+04,3.85809119000000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.15527880000000E+05,5.86709841000000E+06,0.00000000000000E+00,3.26512028000000E+06,1.64430080000000E+05,0.00000000000000E+00,9.42484300000000E+04,2.39990000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.44253140000000E+05,3.55857610000000E+05,3.27051040000000E+05,3.26941568000000E+06,4.28344600000000E+05,7.32771600000000E+04,3.38381660000000E+05,6.65565100000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.89912108000000E+06,1.10443396000000E+06,2.59695060000000E+05,1.61953550000000E+05,9.19073400000000E+04,1.92275000000000E+03,6.44562800000000E+05,5.32900000000000E+02,0.00000000000000E+00,3.28883600000000E+04,3.37010120900000E+07,6.79630868000000E+06
Imports,0.00000000000000E+00,0.00000000000000E+00,1.60110560000000E+05,1.35998388000000E+06,4.14606880000000E+06,3.69385500000000E+04,1.77442000000000E+04,1.33512000000000E+04,2.62070950000000E+05,0.00000000000000E+00,1.30141200000000E+04,1.06257200000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.09121000000000E+03,1.48064370400000E+07,0.00000000000000E+00,2.29113862400000E+07,4.31100020000000E+05,1.03818313000000E+06,1.15728550000000E+05,1.57380000000000E+02,0.00000000000000E+00,1.74734800000000E+04,7.17461940000000E+05,1.15812406000000E+06,5.76405000000000E+03,5.15980000000000E+02,1.20279605000000E+06,1.50758000000000E+05,4.80400202000000E+06,2.63016007000000E+06,1.29557997000000E+06,4.18124400000000E+04,2.23440050000000E+05,1.91450810000000E+05,3.66000000000000E+04,3.59423970000000E+05,1.79880040000000E+05,2.18970000000000E+02,2.20058000000000E+03,3.66730000000000E+03,2.03655870000000E+05,0.00000000000000E+00,6.46763500000000E+04,1.86080570000000E+05,9.19526000000000E+03,0.00000000000000E+00,6.30930000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.13713505000000E+06,1.51980000000000E+02,5.99575257100000E+07,4.72117930000000E+05
Exports,0.00000000000000E+00,0.00000000000000E+00,-2.92179600000000E+04,-1.38874940000000E+05,-5.80654730000000E+05,-2.32530000000000E+02,-2.25616600000000E+04,-1.94477000000000E+03,-2.62722240000000E+05,0.00000000000000E+00,-1.89213600000000E+04,-3.27491100000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-4.95260000000000E+02,-3.50806952000000E+06,0.00000000000000E+00,-1.66131789000000E+06,-5.64410400000000E+04,-3.76622210000000E+05,-9.64614400000000E+04,-1.66528700000000E+04,0.00000000000000E+00,0.00000000000000E+00,-3.00702050000000E+05,-2.88332000000000E+06,-6.86401000000000E+03,-4.30000000000000E+01,-5.83295010000000E+05,-5.19869900000000E+04,-3.82999559000000E+06,-2.72828003000000E+06,-9.12648080000000E+05,-7.21144100000000E+04,-3.34361950000000E+05,-2.48585930000000E+05,-2.48800200000000E+04,-8.80640600000000E+04,-3.14520080000000E+05,0.00000000000000E+00,-1.20178000000000E+03,-1.02480000000000E+03,-9.33240700000000E+04,0.00000000000000E+00,-1.79181600000000E+04,-7.97834100000000E+04,-1.15200000000000E+03,0.00000000000000E+00,-1.95662000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.13663456000000E+06,-2.37940000000000E+02,-2.05168340800000E+07,-1.95336030000000E+05
International marine bunkers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-4.26798000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.66974110000000E+05,-1.73767997000000E+06,0.00000000000000E+00,0.00000000000000E+00,-6.88800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-4.80020000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.01629008000000E+06,0.00000000000000E+00
International aviation bunkers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.20020000000000E+02,0.00000000000000E+00,-1.85102100000000E+06,-8.60000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.85132702000000E+06,0.00000000000000E+00
Stock changes,0.00000000000000E+00,0.00000000000000E+00,1.94373900000000E+04,1.74072900000000E+04,-3.41078500000000E+04,4.38647000000000E+03,4.26212000000000E+03,-5.05220000000000E+02,-1.65075500000000E+04,0.00000000000000E+00,-4.07630000000000E+02,1.65864000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.47511800000000E+04,-3.57343880000000E+05,0.00000000000000E+00,1.95213900000000E+05,7.81362000000000E+03,2.72442600000000E+04,-2.70630000000000E+02,3.93600000000000E+01,-4.94900000000000E+01,9.90200000000000E+01,-2.29540500000000E+04,1.32879800000000E+04,-3.52030000000000E+02,-1.71990000000000E+02,6.66501000000000E+03,-1.07496000000000E+03,7.21644000000000E+04,3.21200800000000E+04,1.43440200000000E+04,-2.09273000000000E+03,-8.10602000000000E+03,3.62698000000000E+03,5.60110000000000E+02,-1.56804000000000E+03,-8.44004000000000E+03,2.30300000000000E+01,-8.00000000000000E+00,-9.09800000000000E+01,-2.19154000000000E+03,0.00000000000000E+00,-8.30280000000000E+02,-2.15758000000000E+03,7.67900000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.40488400000000E+04,-5.11062000000000E+03
Total primary energy supply,0.00000000000000E+00,0.00000000000000E+00,2.44669289776774E+05,1.94611227180464E+06,5.60701869403229E+06,6.16286452387747E+04,3.47150579815046E+06,1.09012100000000E+04,-1.70562302710899E+04,0.00000000000000E+00,-6.27420388636896E+03,-2.43218118155996E+04,-1.67661871986349E+04,-4.43598069817483E+04,-6.84962479910403E+04,-1.47078164377899E+03,7.75327024728516E+04,1.69026632050620E+07,0.00000000000000E+00,2.47104024500000E+07,5.46902720000000E+05,6.88805050000000E+05,1.13245030000000E+05,-1.62161500000000E+04,-5.89437426756465E+04,1.75725100000000E+04,3.92295818604731E+05,-1.71617592000000E+06,-1.67195000000000E+03,3.00990000000000E+02,-1.22485495000000E+06,9.75606894228898E+04,7.73701914333172E+05,-1.89138563522375E+06,3.95245075937186E+05,-3.23949000000000E+04,-1.25916000000000E+05,-5.35082099999999E+04,1.22799700000000E+04,2.56380443986581E+05,-2.25179059339283E+05,2.41981139867944E+05,3.30233683747105E+05,3.03417622161742E+05,3.26390874338363E+06,3.42998964279980E+05,1.19205100000000E+05,4.42521240000000E+05,5.46076693904306E+04,0.00000000000000E+00,4.35273000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.90041557250000E+06,1.10423520000000E+06,1.32234963660384E+05,5.59190400000000E+04,7.06375400000000E+04,0.00000000000000E+00,6.44446800000000E+05,0.00000000000000E+00,4.93201500000022E+04,4.68772834250000E+04,6.79090461342116E+07,7.06797971000000E+06
Transfers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-9.70501900000000E+04,7.65315350000000E+05,-1.53476800000000E+04,-5.57962000000000E+03,8.52389800000000E+04,4.12830200000000E+04,5.68559900000000E+04,1.74812000000000E+05,0.00000000000000E+00,-4.30000000000000E+01,5.97700000000000E+04,-2.86293970000000E+05,-1.95278380000000E+05,-2.15840050000000E+05,4.08320200000000E+04,2.43288200000000E+04,-4.48559900000000E+04,-6.35699000000000E+03,-1.19990000000000E+02,-1.37599000000000E+03,-2.69040000000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.37480000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.11891810000000E+05,6.37480000000000E+02
Statistical differences,0.00000000000000E+00,0.00000000000000E+00,1.16736800000000E+04,3.05237400000000E+04,-1.05698070000000E+05,2.36324000000000E+03,5.21442100000000E+04,6.21300000000000E+01,-2.17165500000000E+04,0.00000000000000E+00,1.13500000000000E+01,-9.80348000000000E+03,-4.48000000000000E+00,-1.10670000000000E+03,-4.21950000000000E+02,0.00000000000000E+00,-3.99479000000000E+03,2.18746100000000E+04,0.00000000000000E+00,1.81790900000000E+04,1.57260800000000E+04,3.00271400000000E+04,-6.33831000000000E+03,-1.65840000000000E+02,2.70765000000000E+04,1.18800000000000E+03,-3.09579900000000E+04,-8.94080300000000E+04,7.92020000000000E+02,0.00000000000000E+00,-6.08020100000000E+04,-1.01050100000000E+04,-2.75196700000000E+04,-6.94799900000000E+04,1.32879800000000E+04,3.05199700000000E+04,2.85598000000000E+03,-1.09199300000000E+04,-1.59999000000000E+03,-6.39990000000000E+02,9.95199000000000E+04,1.10100000000000E+01,0.00000000000000E+00,0.00000000000000E+00,2.46854000000000E+03,-3.29900000000000E+01,3.23560000000000E+02,6.99150000000000E+02,7.38100000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.55220000000000E+03,1.23828000000000E+04,-7.13800800000000E+04,3.53106000000000E+03
