key,demand,full_load_hours
energy_heater_for_heat_network_geothermal,5.14139022883030E+03,3.67200000000000E+03
energy_heater_for_heat_network_wood_pellets,1.41517889554544E+04,2.19000000000000E+03
energy_heater_for_heat_network_coal,1.94323700623669E+04,2.19000000000000E+03
energy_heater_for_heat_network_lignite,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_crude_oil,1.33908370003230E+04,2.19000000000000E+03
energy_heater_for_heat_network_network_gas,4.16391850174831E+04,2.19000000000000E+03
energy_heater_for_heat_network_waste_mix,7.07027027027027E+03,2.19000000000000E+03
energy_power_supercritical_coal,1.78507200000000E+05,3.00000000000000E+03
energy_power_ultra_supercritical_coal,7.90043478260870E+03,3.00000000000000E+03
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,3.00000000000000E+03
energy_power_ultra_supercritical_cofiring_coal,6.68571428571429E+02,3.00000000000000E+03
energy_power_combined_cycle_coal,9.94792052980133E+03,3.00000000000000E+03
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,3.00000000000000E+03
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,6.32900000000000E+03
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,5.97200000000000E+03
energy_power_turbine_network_gas,1.81143529411765E+04,1.20000000000000E+03
energy_power_combined_cycle_network_gas,2.30958000000000E+04,2.50000000000000E+03
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,2.30000000000000E+03
energy_power_ultra_supercritical_network_gas,2.69451000000000E+04,2.00000000000000E+03
energy_power_ultra_supercritical_crude_oil,1.96160000000000E+04,3.80000000000000E+02
energy_power_engine_diesel,3.18315789473684E+03,3.80000000000000E+02
energy_power_engine_network_gas,0.00000000000000E+00,7.00000000000000E+02
energy_power_supercritical_waste_mix,3.69504000000000E+04,3.80000000000000E+03
energy_power_nuclear_gen2_uranium_oxide,4.78581750000000E+06,6.74000000000000E+03
energy_power_nuclear_gen3_uranium_oxide,0.00000000000000E+00,7.84300000000000E+03
energy_power_hydro_river,1.07847551020408E+05,2.85800000000000E+03
energy_power_hydro_mountain,1.11253263157895E+05,2.85800000000000E+03
energy_power_geothermal,0.00000000000000E+00,8.25000000000000E+03
energy_power_solar_pv_solar_radiation,3.34575000000000E+04,1.15000000000000E+03
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,5.00000000000000E+02
energy_power_wind_turbine_coastal,1.10694432989691E+04,2.42500000000000E+03
energy_power_wind_turbine_offshore,0.00000000000000E+00,3.80000000000000E+03
energy_power_wind_turbine_inland,4.42777731958763E+04,1.92500000000000E+03
buildings_solar_pv_solar_radiation,5.68800000000000E+04,1.15000000000000E+03
households_solar_pv_solar_radiation,0.00000000000000E+00,1.15000000000000E+03
agriculture_chp_engine_network_gas,1.40521655845433E+01,3.60000000000000E+03
agriculture_chp_engine_biogas,1.67178000000000E+02,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.00000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,2.77130354430409E+03,4.00000000000000E+03
buildings_chp_engine_biogas,5.31196600000000E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,4.87497487111675E+03,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,3.63666042036628E+04,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,0.00000000000000E+00,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,1.79517784937048E+04,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,2.84300167525888E+04,7.00000000000000E+03
energy_chp_combined_cycle_network_gas,8.53028571428571E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,7.00000000000000E+03
energy_chp_supercritical_waste_mix,2.51733333333333E+04,6.00000000000000E+03
