key,demand,full_load_hours
energy_heater_for_heat_network_geothermal,4.82372302061326E+03,3.67200000000000E+03
energy_heater_for_heat_network_wood_pellets,1.31100121199610E+04,2.19000000000000E+03
energy_heater_for_heat_network_coal,1.79679678571966E+04,2.19000000000000E+03
energy_heater_for_heat_network_lignite,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_crude_oil,1.23817181347696E+04,2.19000000000000E+03
energy_heater_for_heat_network_network_gas,3.86365401577918E+04,2.19000000000000E+03
energy_heater_for_heat_network_waste_mix,7.07027027027027E+03,2.19000000000000E+03
energy_power_supercritical_coal,9.06053778889900E+04,6.80000000000000E+03
energy_power_ultra_supercritical_coal,7.72014096609566E+04,7.70000000000000E+03
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,6.00000000000000E+03
energy_power_ultra_supercritical_cofiring_coal,6.68571428571429E+02,7.70000000000000E+03
energy_power_combined_cycle_coal,9.43182233095711E+03,4.60000000000000E+03
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,4.50000000000000E+03
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,6.32900000000000E+03
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,5.97200000000000E+03
energy_power_turbine_network_gas,9.05717647058824E+02,5.00000000000000E+02
energy_power_combined_cycle_network_gas,4.67048400000000E+04,4.20000000000000E+03
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,3.50000000000000E+03
energy_power_ultra_supercritical_network_gas,6.15888000000000E+03,7.00000000000000E+02
energy_power_ultra_supercritical_crude_oil,1.96160000000000E+04,3.50400000000000E+03
energy_power_engine_diesel,3.18315789473684E+03,3.50400000000000E+03
energy_power_engine_network_gas,0.00000000000000E+00,1.00000000000000E+00
energy_power_supercritical_waste_mix,3.69504000000000E+04,3.80000000000000E+03
energy_power_nuclear_gen2_uranium_oxide,0.00000000000000E+00,5.25600000000000E+03
energy_power_nuclear_gen3_uranium_oxide,4.25406000000000E+06,7.84300000000000E+03
energy_power_hydro_river,2.15695102040816E+05,2.50000000000000E+03
energy_power_hydro_mountain,0.00000000000000E+00,3.94200000000000E+03
energy_power_geothermal,0.00000000000000E+00,8.25000000000000E+03
energy_power_solar_pv_solar_radiation,3.34575000000000E+04,8.72000000000000E+02
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,5.00000000000000E+02
energy_power_wind_turbine_coastal,7.41652701030928E+03,3.00000000000000E+03
energy_power_wind_turbine_offshore,8.96624907216495E+03,3.50000000000000E+03
energy_power_wind_turbine_inland,3.89644404123711E+04,2.50000000000000E+03
buildings_solar_pv_solar_radiation,5.68800000000000E+04,8.72000000000000E+02
households_solar_pv_solar_radiation,0.00000000000000E+00,8.72000000000000E+02
agriculture_chp_engine_network_gas,1.40521655845433E+01,3.60000000000000E+03
agriculture_chp_engine_biogas,1.67178000000000E+02,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.00000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,5.03873371691654E+03,4.00000000000000E+03
buildings_chp_engine_biogas,5.31196600000000E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,1.39469895093063E+04,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,4.85334799774394E+02,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,3.54294403835307E+04,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,3.16800000000000E+04,7.00000000000000E+03
energy_chp_combined_cycle_network_gas,8.53028571428571E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,7.00000000000000E+03
energy_chp_supercritical_waste_mix,2.51733333333333E+04,6.00000000000000E+03
