key,demand,max_demand
energy_production_bio_ethanol,1.64819700000000E+04,
energy_production_biodiesel,1.04334890000000E+05,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,3.25548121920320E+05,
energy_production_biogenic_waste,1.08652110000000E+05,3.31991000000000E+05
energy_production_non_biogenic_waste,1.68104670000000E+05,5.46568000000000E+05
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,7.03400000000000E+05
energy_production_manure,,
energy_production_corn,,
energy_production_wood,8.33578228099611E+04,
