etm_sector,etm_subsector,use,ghg,unit,value
Agriculture,Non-specified,energetic,other_ghg,kton CO2-eq,709.57196
Agriculture,Non-specified,non_energetic,co2,kton CO2-eq,429.58115
Agriculture,Non-specified,non_energetic,other_ghg,kton CO2-eq,32133.02944
Buildings,Non-specified,energetic,other_ghg,kton CO2-eq,441.47667
Energy,CCUS,non_energetic,co2,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,other_ghg,kton CO2-eq,307.17637
Energy,Fuels production,energetic,other_ghg,kton CO2-eq,32.34274
Energy,Fugitive emissions,non_energetic,co2,kton CO2-eq,2756.26352
Energy,Fugitive emissions,non_energetic,other_ghg,kton CO2-eq,4208.22316
Energy,Hydrogen production,non_energetic,other_ghg,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,kton CO2-eq,0.0
Households,Non-specified,energetic,other_ghg,kton CO2-eq,3590.46005
Industry,Aluminium,non_energetic,co2,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,kton CO2-eq,783.20756
Industry,Chemicals,non_energetic,other_ghg,kton CO2-eq,854.51153
Industry,Fertilizers,non_energetic,other_ghg,kton CO2-eq,38.28217
Industry,Non-specified,energetic,other_ghg,kton CO2-eq,985.66113
Industry,Other,non_energetic,co2,kton CO2-eq,11309.89378
Industry,Other,non_energetic,other_ghg,kton CO2-eq,12602.33296
Industry,Other metals,non_energetic,co2,kton CO2-eq,245.23418
Industry,Other metals,non_energetic,other_ghg,kton CO2-eq,5.2351
Industry,Refineries,energetic,other_ghg,kton CO2-eq,130.41671
Industry,Steel,non_energetic,co2,kton CO2-eq,1357.04996
Industry,Steel,non_energetic,other_ghg,kton CO2-eq,42.33991
International transport,International aviation,energetic,other_ghg,kton CO2-eq,85.25429
International transport,International navigation,energetic,other_ghg,kton CO2-eq,50.37374
LULUCF,Emissions,non_energetic,co2,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,kton CO2-eq,553.44537
LULUCF,Removals,non_energetic,co2,kton CO2-eq,48194.21756
National transport,Non-specified,energetic,other_ghg,kton CO2-eq,1050.17008
Other,Indirect emissions,non_energetic,co2,kton CO2-eq,877.2767
Other,Non-specified,energetic,other_ghg,kton CO2-eq,12.85616
Other,Other transportation,energetic,other_ghg,kton CO2-eq,10.15422
Waste,Non-specified,non_energetic,co2,kton CO2-eq,95.62048
Waste,Non-specified,non_energetic,other_ghg,kton CO2-eq,19692.21904
